Time resolution is 1 ps
Time = 0 | Data Valid = 0 | Received Data = 00
Time = 30430000 | Data Valid = 0 | Received Data = 80
Time = 39110000 | Data Valid = 0 | Received Data = c0
Time = 47790000 | Data Valid = 0 | Received Data = 60
Time = 56470000 | Data Valid = 0 | Received Data = 30
Time = 65150000 | Data Valid = 0 | Received Data = 18
Time = 73830000 | Data Valid = 0 | Received Data = 8c
Time = 82510000 | Data Valid = 0 | Received Data = 46
Time = 91190000 | Data Valid = 0 | Received Data = 23
Time = 91210000 | Data Valid = 1 | Received Data = 23
Time = 99890000 | Data Valid = 0 | Received Data = 23
Time = 180630000 | Data Valid = 0 | Received Data = 00
Time = 208410000 | Data Valid = 0 | Received Data = 80
Time = 217090000 | Data Valid = 0 | Received Data = c0
Time = 225770000 | Data Valid = 0 | Received Data = e0
Time = 234450000 | Data Valid = 0 | Received Data = 70
Time = 243130000 | Data Valid = 0 | Received Data = 38
Time = 251810000 | Data Valid = 0 | Received Data = 1c
Time = 260490000 | Data Valid = 0 | Received Data = 0e
Time = 269170000 | Data Valid = 0 | Received Data = 07
Time = 269190000 | Data Valid = 1 | Received Data = 07
Time = 277870000 | Data Valid = 0 | Received Data = 07
Time = 361230000 | Data Valid = 0 | Received Data = 00
Time = 395070000 | Data Valid = 0 | Received Data = 80
Time = 403750000 | Data Valid = 0 | Received Data = c0
Time = 412430000 | Data Valid = 0 | Received Data = 60
Time = 421110000 | Data Valid = 0 | Received Data = 30
Time = 429790000 | Data Valid = 0 | Received Data = 98
Time = 438470000 | Data Valid = 0 | Received Data = cc
Time = 447150000 | Data Valid = 0 | Received Data = e6
Time = 455830000 | Data Valid = 0 | Received Data = 73
Time = 455850000 | Data Valid = 1 | Received Data = 73
Time = 464530000 | Data Valid = 0 | Received Data = 73
Time = 541830000 | Data Valid = 0 | Received Data = 00
Time = 573050000 | Data Valid = 0 | Received Data = 80
Time = 581730000 | Data Valid = 0 | Received Data = c0
Time = 590410000 | Data Valid = 0 | Received Data = 60
Time = 599090000 | Data Valid = 0 | Received Data = 30
Time = 607770000 | Data Valid = 0 | Received Data = 18
Time = 616450000 | Data Valid = 0 | Received Data = 8c
Time = 625130000 | Data Valid = 0 | Received Data = c6
Time = 633810000 | Data Valid = 0 | Received Data = e3
Time = 633830000 | Data Valid = 1 | Received Data = e3
Time = 642510000 | Data Valid = 0 | Received Data = e3
Time = 722430000 | Data Valid = 0 | Received Data = 00
Time = 751030000 | Data Valid = 0 | Received Data = 80
Time = 759710000 | Data Valid = 0 | Received Data = c0
Time = 768390000 | Data Valid = 0 | Received Data = e0
Time = 777070000 | Data Valid = 0 | Received Data = 70
Time = 785750000 | Data Valid = 0 | Received Data = 38
Time = 794430000 | Data Valid = 0 | Received Data = 1c
Time = 803110000 | Data Valid = 0 | Received Data = 0e
Time = 811790000 | Data Valid = 0 | Received Data = 07
Time = 811810000 | Data Valid = 1 | Received Data = 07
Time = 820490000 | Data Valid = 0 | Received Data = 07
